A000374,Republican,"Abraham, Ralph Lee",Louisiana,House:2015-2021,0,0
A000370,Democratic,"Adams, Alma S.",NorthCarolina,House:2014-Present,0,0
A000055,Republican,"Aderholt, Robert B.",Alabama,House:1997-Present,2,1
A000371,Democratic,"Aguilar, Pete",California,House:2015-Present,5,7
A000372,Republican,"Allen, Rick W.",Georgia,House:2015-Present,0,0
A000376,Democratic,"Allred, Colin Z.",Texas,House:2019-Present,0,0
A000367,Libertarian,"Amash, Justin",Michigan,House:2011-2021,17,4
A000369,Republican,"Amodei, Mark E.",Nevada,House:2011-Present,0,0
A000377,Republican,"Armstrong, Kelly",NorthDakota,House:2019-Present,4,2
A000375,Republican,"Arrington, Jodey C.",Texas,House:2017-Present,0,0
A000378,Democratic,"Axne, Cynthia",Iowa,House:2019-2023,21,10
B001291,Republican,"Babin, Brian",Texas,House:2015-Present,6,2
B001298,Republican,"Bacon, Don",Nebraska,House:2017-Present,3,10
B001307,Republican,"Baird, James R.",Indiana,House:2019-Present,0,0
B001306,Republican,"Balderson, Troy",Ohio,House:2018-Present,3,17
B001299,Republican,"Banks, Jim",Indiana,House:2017-Present,17,18
B001282,Republican,"Barr, Andy",Kentucky,House:2013-Present,12,11
B001300,Democratic,"Barragan, Nanette Diaz",California,House:2017-Present,0,0
B001270,Democratic,"Bass, Karen",California,House:2011-2022,7,11
B001281,Democratic,"Beatty, Joyce",Ohio,House:2013-Present,21,14
B001287,Democratic,"Bera, Ami",California,House:2013-Present,5,6
B001301,Republican,"Bergman, Jack",Michigan,House:2017-Present,4,6
B001292,Democratic,"Beyer, Donald S., Jr.",Virginia,House:2015-Present,0,0
B001302,Republican,"Biggs, Andy",Arizona,House:2017-Present,28,4
B001257,Republican,"Bilirakis, Gus M.",Florida,House:2007-Present,0,0
B001311,Republican,"Bishop, Dan",NorthCarolina,House:2019-Present,4,6
B001250,Republican,"Bishop, Rob",Utah,House:2003-2021,6,5
B000490,Democratic,"Bishop, Sanford D., Jr.",Georgia,House:1993-Present,0,0
B000574,Democratic,"Blumenauer, Earl",Oregon,House:1995-Present,17,22
B001303,Democratic,"Blunt Rochester, Lisa",Delaware,House:2017-Present,9,8
B001278,Democratic,"Bonamici, Suzanne",Oregon,House:2012-Present,7,22
B001295,Republican,"Bost, Mike",Illinois,House:2015-Present,4,7
B001296,Democratic,"Boyle, Brendan F.",Pennsylvania,House:2015-Present,0,0
B000755,Republican,"Brady, Kevin",Texas,House:1997-2023,3,5
B001308,Democratic,"Brindisi, Anthony",NewYork,House:2019-2021,7,6
B001274,Republican,"Brooks, Mo",Alabama,House:2011-2023,1,6
B001284,Republican,"Brooks, Susan W.",Indiana,House:2013-2021,0,0
B001304,Democratic,"Brown, Anthony G.",Maryland,House:2017-2023,0,0
B001285,Democratic,"Brownley, Julia",California,House:2013-Present,13,9
B001260,Republican,"Buchanan, Vern",Florida,House:2007-Present,5,6
B001297,Republican,"Buck, Ken",Colorado,House:2015-Present,8,4
B001275,Republican,"Bucshon, Larry",Indiana,House:2011-Present,6,7
